editionID,festivalID,year,ceromanyNumber,startDate,endDate
119,4,2019,91,2019-02-24,2019-02-24
120,4,2020,92,2020-02-09,2020-02-09
121,4,2021,93,2021-04-25,2021-04-25
122,4,2022,94,2022-03-27,2022-03-27
123,1,1947,2,1947-09-12,1947-09-25
124,1,1949,3,1949-09-02,1949-09-17
125,1,1951,4,1951-04-03,1951-04-20
126,1,1952,5,1952-04-23,1952-05-10
127,1,1953,6,1953-04-15,1953-04-29
128,1,1954,7,1954-03-25,1954-04-10
129,1,1956,9,1956-04-23,1956-05-10
130,1,1957,10,1957-05-02,1957-05-17
131,1,1958,11,1958-05-02,1958-05-18
132,1,1959,12,1959-04-30,1959-05-15
133,1,1960,13,1960-05-04,1960-05-20
134,1,1961,14,1961-05-03,1961-05-16
135,1,1962,15,1962-05-07,1962-05-21
136,1,1963,16,1963-05-09,1963-05-22
137,1,1964,17,1964-04-29,1964-05-12
138,1,1966,19,1966-04-27,1966-05-11
139,1,1967,20,1967-04-27,1967-05-12
140,1,1968,21,1968-05-10,1968-05-24
141,1,1969,22,1969-05-08,1969-05-23
142,1,1970,23,1970-05-02,1970-05-16
143,1,1971,24,1971-05-12,1971-05-27
144,1,1972,25,1972-05-13,1972-05-28
145,1,1973,26,1973-05-10,1973-05-25
146,1,1974,27,1974-05-09,1974-05-24
147,1,1976,29,1976-05-13,1976-05-28
148,1,1977,30,1977-05-13,1977-05-28
149,1,1978,31,1978-05-16,1978-05-30
150,1,1979,32,1979-05-10,1979-05-24
151,1,1980,33,1980-05-08,1980-05-21
152,1,1981,34,1981-05-13,1981-05-27
153,1,1982,35,1982-05-14,1982-05-26
154,1,1983,36,1983-05-07,1983-05-19
155,1,1984,37,1984-05-11,1984-05-23
156,1,1986,39,1986-05-08,1986-05-19
157,1,1987,40,1987-05-07,1987-05-19
158,1,1988,41,1988-05-11,1988-05-23
159,1,1989,42,1989-05-11,1989-05-23
160,1,1990,43,1990-05-10,1990-05-21
161,1,1991,44,1991-05-09,1991-05-20
162,1,1992,45,1992-05-07,1992-05-18
163,1,1993,46,1993-05-13,1993-05-24
164,1,1994,47,1994-05-12,1994-05-23
165,1,1996,49,1996-05-09,1996-05-20
166,1,1997,50,1997-05-07,1997-05-18
167,1,1998,51,1998-05-13,1998-05-24
168,1,1999,52,1999-05-12,1999-05-23
169,1,2000,53,2000-05-14,2000-05-25
170,1,2001,54,2001-05-09,2001-05-20
171,1,2002,55,2002-05-15,2002-05-26
172,1,2003,56,2003-05-14,2003-05-25
173,1,2004,57,2004-05-12,2004-05-23
174,1,2006,59,2006-05-17,2006-05-28
175,1,2007,60,2007-05-16,2007-05-27
176,1,2008,61,2008-05-14,2008-05-25
177,1,2009,62,2009-05-13,2009-05-24
178,1,2010,63,2010-05-12,2010-05-23
179,1,2011,64,2011-05-11,2011-05-22
180,1,2012,65,2012-05-16,2012-05-27
181,1,2013,66,2013-05-15,2013-05-26
182,1,2014,67,2014-05-14,2014-05-25
183,1,2016,69,2016-05-11,2016-05-22
184,1,2017,70,2017-05-17,2017-05-28
185,1,2018,71,2018-05-08,2018-05-19
186,1,2019,72,2019-05-14,2019-05-25
187,1,2020,73,2020-07-01,2020-07-01
188,1,2021,74,2021-07-06,2021-07-17
189,1,2022,75,2022-05-17,2022-05-28
190,2,1934,2,1934-08-01,1934-08-20
191,2,1935,3,1935-08-10,1935-09-01
192,2,1936,4,1936-08-10,1936-08-31
193,2,1937,5,1937-08-10,1937-09-01
194,2,1938,6,1938-08-08,1938-08-31
195,2,1940,7,1940-08-01,1940-08-31
196,2,1941,8,1941-08-30,1941-09-14
197,2,1942,9,1942-08-30,1942-09-14
198,2,1946,10,1946-08-15,1946-09-01
199,2,1948,11,1948-08-19,1948-09-04
200,2,1949,12,1949-08-11,1949-09-05
201,2,1950,13,1950-08-20,1950-09-10
202,2,1951,14,1951-09-01,1951-09-10
203,2,1952,15,1952-08-20,1952-09-10
204,2,1953,16,1953-08-22,1953-09-06
205,2,1954,17,1954-08-22,1954-09-07
206,2,1955,18,1955-08-25,1955-09-09
207,2,1956,19,1956-08-29,1956-09-09
208,2,1958,20,1958-08-24,1958-09-07
209,2,1959,21,1959-08-23,1959-09-06
210,2,1960,22,1960-08-24,1960-09-06
211,2,1961,23,1961-08-20,1961-09-08
212,2,1962,24,1962-08-25,1962-09-08
213,2,1963,25,1963-08-24,1963-09-07
214,2,1964,26,1964-08-27,1964-09-10
215,2,1965,27,1965-08-24,1965-09-04
216,2,1966,28,1966-08-28,1966-09-10
217,2,1968,29,1968-08-25,1968-09-07
218,2,1969,30,1969-08-23,1969-09-05
219,2,1970,31,1970-08-20,1970-09-01
220,2,1971,32,1971-08-25,1971-09-05
221,2,1972,33,1972-08-20,1972-09-02
222,2,1973,34,1973-08-23,1973-09-02
223,2,1974,35,1974-08-22,1974-09-02
224,2,1975,36,1975-08-26,1975-09-05
225,2,1976,37,1976-08-24,1976-09-02
226,2,1978,39,1978-08-28,1978-09-08
227,2,1979,40,1979-08-28,1979-09-07
228,2,1980,41,1980-08-28,1980-09-07
229,2,1981,42,1981-09-02,1981-09-12
230,2,1982,43,1982-08-27,1982-09-05
231,2,1983,44,1983-08-31,1983-09-10
232,2,1984,45,1984-08-28,1984-09-07
233,2,1985,46,1985-08-28,1985-09-07
234,2,1986,47,1986-08-30,1986-09-09
235,2,1988,48,1988-08-29,1988-09-09
236,2,1989,49,1989-08-29,1989-09-09
237,2,1990,50,1990-09-04,1990-09-14
238,2,1991,51,1991-09-04,1991-09-14
239,2,1992,52,1992-09-01,1992-09-12
240,2,1993,53,1993-09-01,1993-09-11
241,2,1994,54,1994-09-01,1994-09-10
242,2,1995,55,1995-08-30,1995-09-09
243,2,1996,56,1996-08-28,1996-09-07
244,2,1998,57,1998-09-02,1998-09-12
245,2,1999,58,1999-09-01,1999-09-11
246,2,2000,59,2000-08-30,2000-09-09
247,2,2001,60,2001-08-29,2001-09-08
248,2,2002,61,2002-08-28,2002-09-07
249,2,2003,62,2003-08-27,2003-09-06
250,2,2004,63,2004-09-01,2004-09-11
251,2,2006,64,2006-08-30,2006-09-09
252,2,2008,65,2008-08-27,2008-09-06
253,2,2009,66,2009-09-02,2009-09-12
254,2,2010,67,2010-09-01,2010-09-11
255,2,2011,68,2011-08-31,2011-09-10
256,2,2012,69,2012-08-29,2012-09-08
257,2,2013,70,2013-08-28,2013-09-07
258,2,2014,71,2014-08-27,2014-09-06
259,2,2016,72,2016-08-31,2016-09-10
260,2,2017,73,2017-08-30,2017-09-09
261,2,2018,74,2018-08-29,2018-09-08
262,2,2019,75,2019-08-28,2019-09-07
263,2,2020,76,2020-09-02,2020-09-12
264,2,2021,77,2021-09-01,2021-09-11
265,2,2022,78,2022-08-31,2022-09-10
266,3,1952,2,1952-06-12,1952-06-25
267,3,1953,3,1953-06-18,1953-06-25
268,3,1954,4,1954-06-18,1954-06-29
269,3,1955,5,1955-06-24,1955-07-05
270,3,1956,6,1956-06-22,1956-07-03
271,3,1957,7,1957-06-21,1957-07-02
272,3,1958,8,1958-06-27,1958-07-08
273,3,1959,9,1959-06-26,1959-07-07
274,3,1961,11,1961-06-23,1961-07-04
275,3,1962,12,1962-06-22,1962-07-03
276,3,1963,13,1963-06-21,1963-07-02
277,3,1964,14,1964-06-26,1964-07-07
278,3,1965,15,1965-06-25,1965-07-06
279,3,1966,16,1966-06-24,1966-07-05
280,3,1967,17,1967-06-23,1967-07-04
281,3,1968,18,1968-06-21,1968-07-02
282,3,1969,19,1969-06-25,1969-07-06
283,3,1971,21,1971-06-25,1971-07-06
284,3,1972,22,1972-06-23,1972-07-04
285,3,1973,23,1973-06-22,1973-07-03
286,3,1974,24,1974-06-21,1974-07-02
287,3,1975,25,1975-06-27,1975-07-08
288,3,1976,26,1976-06-25,1976-07-06
289,3,1977,27,1977-06-24,1977-07-05
290,3,1978,28,1978-02-22,1978-03-05
291,3,1979,29,1979-02-20,1979-03-02
292,3,1981,31,1981-02-13,1981-02-24
293,3,1982,32,1982-02-12,1982-02-23
294,3,1983,33,1983-02-18,1983-03-01
295,3,1984,34,1984-02-17,1984-02-28
296,3,1985,35,1985-02-15,1985-02-26
297,3,1986,36,1986-02-14,1986-02-25
298,3,1987,37,1987-02-20,1987-03-03
299,3,1988,38,1988-02-12,1988-02-23
300,3,1989,39,1989-02-10,1989-02-21
301,3,1991,41,1991-02-15,1991-02-26
302,3,1992,42,1992-02-13,1992-02-24
303,3,1993,43,1993-02-11,1993-02-22
304,3,1994,44,1994-02-10,1994-02-21
305,3,1995,45,1995-02-09,1995-02-20
306,3,1996,46,1996-02-15,1996-02-26
307,3,1997,47,1997-02-13,1997-02-24
308,3,1998,48,1998-02-11,1998-02-22
309,3,1999,49,1999-02-10,1999-02-21
310,3,2001,51,2001-02-07,2001-02-18
311,3,2002,52,2002-02-06,2002-02-17
312,3,2003,53,2003-02-06,2003-02-16
313,3,2004,54,2004-02-05,2004-02-15
314,3,2005,55,2005-02-10,2005-02-20
315,3,2006,56,2006-02-09,2006-02-19
316,3,2007,57,2007-02-08,2007-02-18
317,3,2008,58,2008-02-07,2008-02-17
318,3,2009,59,2009-02-05,2009-02-15
319,3,2011,61,2011-02-10,2011-02-20
320,3,2012,62,2012-02-09,2012-02-19
321,3,2013,63,2013-02-07,2013-02-17
322,3,2014,64,2014-02-06,2014-02-16
323,3,2015,65,2015-02-05,2015-02-15
324,3,2016,66,2016-02-11,2016-02-21
325,3,2017,67,2017-02-09,2017-02-19
326,3,2018,68,2018-02-15,2018-02-25
327,3,2019,69,2019-02-07,2019-02-17
328,3,2021,71,2021-03-01,2021-03-05
329,3,2022,72,2022-02-10,2022-02-20
330,8,2020,36,2020-01-24,2020-02-02
331,8,2021,37,2021-01-28,2021-02-03
332,9,2020,25,2020-10-21,2020-10-30
333,9,2021,26,2021-10-06,2021-10-15
334,10,2020,51,2020-01-16,2020-01-24
335,10,2021,52,2021-01-16,2021-01-24
336,11,2020,33,2020-11-05,2020-11-13
337,11,2021,34,2021-10-30,2021-11-08
